OBJECTID;Stadion;Verein;Sitze;longitude;latitude
1;Allianz Arena;FC Bayern München;71137;11,62470893;48,21888623
2;SGL Arena;FC Augsburg;30660;10,88581449;48,32310443
3;MAGE SOLAR Stadion;SC Freiburg;24000;7,892831134;47,98893703
4;Mercedes-Benz Arena;VfB Stuttgart;60449;9,232101992;48,79225422
5;Grundig Stadion;1. FC Nürnberg;50000;11,12567647;49,42629398
6;WIRSOL Rhein-Neckar-Arena;1899 Hoffenheim;30150;8,887612972;49,23803583
7;Coface Arena;Mainz 05;34000;8,224395778;49,98389082
8;Commerzbank-Arena;Eintracht Frankfurt;51500;8,645485525;50,06859835
9;BayArena;Bayer Leverkusen;30210;7,002036111;51,03825633
10;Borussia-Park;Borussia Mönchengladbach;54049;6,385501562;51,17453307
11;Veltins-Arena;FC Schalke 04;78966;7,067573112;51,55456642
12;Signal Iduna Park;Borussia Dortmund;80647;7,45186735;51,49260359
13;Eintracht Stadion;Eintracht Braunschweig;23325;10,52153396;52,29013829
14;HDI Arena;Hannover 96;49000;9,731188635;52,360016
15;Volkswagen-Arena;VfL Wolfsburg;30000;10,80386752;52,43266344
16;Olympiastadion;Hertha BSC Berlin;74244;13,23946427;52,51466407
17;Weserstadion;SV Werder Bremen;42100;8,837611433;53,0664399
18;Imtech Arena;Hamburger SV;57000;9,898680222;53,58719216
